ProductID,Brand,Category,Subcategory,ProductLine,ProductLineType,ProductName,Description,Gender,Material,Season,Color,PrimaryPurpose,WeatherProfile,Terrain,Waterproofing,Insulation,SizeCurve,PriceUSD,Rating
PRD-6A6DD909,NorthPeak,Outerwear,Raincoats/Shell Jackets,Whirlibird,Outerwear,Whirlibird TerraLite Raincoats/Shell Jacket,Whirlibird TerraLite Raincoats/Shell Jacket engineered for travel on airport/city in variable conditions. Built with eVent and waterproof protection; insulation: none.,Men,eVent,All-season,Navy,Travel,Variable,Airport/City,Waterproof,None,"S,M,L,XL,XXL",199,4.5
PRD-6C9C4BE9,AlpineCo,Outerwear,Raincoats/Shell Jackets,Whirlibird,Outerwear,Whirlibird StormThermo Raincoats/Shell Jacket,Whirlibird StormThermo Raincoats/Shell Jacket engineered for fishing on riverbank/boat in cool/wet conditions. Built with Gore-Tex and waterproof protection; insulation: none.,Unisex,Gore-Tex,All-season,Olive,Fishing,Cool/Wet,Riverbank/Boat,Waterproof,None,"XS,S,M,L,XL,XXL",352,4.6
PRD-007A927E,TrailForge,Outerwear,Raincoats/Shell Jackets,Whirlibird,Outerwear,Whirlibird AeroShield Raincoats/Shell Jacket,Whirlibird AeroShield Raincoats/Shell Jacket engineered for alpine climbing on alpine/rock/ice in cold/variable conditions. Built with Gore-Tex and waterproof protection; insulation: none.,Unisex,Gore-Tex,Winter,Cobalt,Alpine Climbing,Cold/Variable,Alpine/Rock/Ice,Waterproof,None,"XS,S,M,L,XL,XXL",224,4.8
PRD-9C8B328D,NorthPeak,Outerwear,Raincoats/Shell Jackets,Whirlibird,Outerwear,Whirlibird GlacierPro Raincoats/Shell Jacket,Whirlibird GlacierPro Raincoats/Shell Jacket engineered for alpine climbing on alpine/rock/ice in cold/variable conditions. Built with eVent and waterproof protection; insulation: none.,Women,eVent,Winter,Navy,Alpine Climbing,Cold/Variable,Alpine/Rock/Ice,Waterproof,None,"XS,S,M,L,XL",202,4.3
PRD-9CF993C3,AlpineCo,Outerwear,Raincoats/Shell Jackets,Whirlibird,Outerwear,Whirlibird CascadePro Raincoats/Shell Jacket,Whirlibird CascadePro Raincoats/Shell Jacket engineered for alpine climbing on alpine/rock/ice in cold/variable conditions. Built with eVent and waterproof protection; insulation: none.,Men,eVent,Winter,Stone,Alpine Climbing,Cold/Variable,Alpine/Rock/Ice,Waterproof,None,"S,M,L,XL,XXL",424,4.4
PRD-53035A97,TrailForge,Outerwear,Raincoats/Shell Jackets,Whirlibird,Outerwear,Whirlibird AtlasGTX Raincoats/Shell Jacket,Whirlibird AtlasGTX Raincoats/Shell Jacket engineered for alpine climbing on alpine/rock/ice in cold/variable conditions. Built with eVent and waterproof protection; insulation: none.,Men,eVent,Winter,Charcoal,Alpine Climbing,Cold/Variable,Alpine/Rock/Ice,Waterproof,None,"S,M,L,XL,XXL",449,4.6
PRD-27E167FA,NorthPeak,Outerwear,Down Jackets,Delta Ridge,Outerwear,Delta Ridge SummitFlex Down Jacket,Delta Ridge SummitFlex Down Jacket engineered for travel on airport/city in variable conditions. Built with Down/Pertex and weather resistant protection; insulation: insulated.,Women,Down/Pertex,Winter,Crimson,Travel,Variable,Airport/City,Weather Resistant,Insulated,"XS,S,M,L,XL",371,4.5
PRD-63D160AB,AlpineCo,Outerwear,Vests,Delta Ridge,Outerwear,Delta Ridge SummitShield Vest,Delta Ridge SummitShield Vest engineered for backpacking on mixed trails in variable conditions. Built with Down/Nylon and weather resistant protection; insulation: insulated.,Unisex,Down/Nylon,All-season,Sand,Backpacking,Variable,Mixed Trails,Weather Resistant,Insulated,"XS,S,M,L,XL,XXL",157,4.3
PRD-29BC8AE2,TrailForge,Outerwear,Down Jackets,Delta Ridge,Outerwear,Delta Ridge AuroraFlex Down Jacket,Delta Ridge AuroraFlex Down Jacket engineered for travel on airport/city in variable conditions. Built with Down/Ripstop Nylon and weather resistant protection; insulation: insulated.,Women,Down/Ripstop Nylon,Winter,Forest,Travel,Variable,Airport/City,Weather Resistant,Insulated,"XS,S,M,L,XL",346,4.7
PRD-A7CCB8A3,NorthPeak,Outerwear,Vests,Delta Ridge,Outerwear,Delta Ridge AeroCore Vest,Delta Ridge AeroCore Vest engineered for casual/urban on city/commute in any conditions. Built with Down/Nylon and weather resistant protection; insulation: insulated.,Men,Down/Nylon,All-season,Plum,Casual/Urban,Any,City/Commute,Weather Resistant,Insulated,"S,M,L,XL,XXL",93,4.8
PRD-65F67DC0,AlpineCo,Outerwear,Down Jackets,Delta Ridge,Outerwear,Delta Ridge RidgePrime Down Jacket,Delta Ridge RidgePrime Down Jacket engineered for casual/urban on city/commute in any conditions. Built with Down/Ripstop Nylon and weather resistant protection; insulation: insulated.,Men,Down/Ripstop Nylon,Winter,Cinder,Casual/Urban,Any,City/Commute,Weather Resistant,Insulated,"S,M,L,XL,XXL",446,4.7
PRD-CBAFA2E9,TrailForge,Outerwear,Vests,Delta Ridge,Outerwear,Delta Ridge AeroPrime Vest,Delta Ridge AeroPrime Vest engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Synthetic/Nylon and weather resistant protection; insulation: insulated.,Unisex,Synthetic/Nylon,All-season,Olive,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Weather Resistant,Insulated,"XS,S,M,L,XL,XXL",203,4.5
PRD-587963CC,NorthPeak,Outerwear,Bombers/Softshell,Powder Lite,Outerwear,Powder Lite SummitPro Bombers/Softshell,Powder Lite SummitPro Bombers/Softshell engineered for travel on airport/city in variable conditions. Built with Nylon and weather resistant protection; insulation: none.,Women,Nylon,All-season,Charcoal,Travel,Variable,Airport/City,Weather Resistant,None,"XS,S,M,L,XL",122,4.4
